# time (s)	h_+ (strain)	h_x (strain)
-1.978149414	-2.310853221855588910e-21	-2.332945416181546878e-21
-1.978088379	-2.410966842078671279e-21	-2.119013678284615522e-21
-1.978027344	-2.242678169083693055e-21	-2.403832988805500844e-21
-1.977966309	-2.341147886515731910e-21	-2.189901689851390320e-21
-1.977905273	-2.172357126167172254e-21	-2.472603582089521219e-21
-1.977844238	-2.269220263278882413e-21	-2.258631499021258791e-21
-1.977783203	-2.099955825338772932e-21	-2.539192831512936381e-21
-1.977722168	-2.195250617460569618e-21	-2.325139861163100779e-21
-1.977661133	-2.025541926563305636e-21	-2.603538407176316941e-21
-1.977600098	-2.119307491723132050e-21	-2.389365593670881886e-21
-1.977539062	-1.949184954621400214e-21	-2.665580071762501429e-21
-1.977478027	-2.041461262320015048e-21	-2.451249632817285988e-21
-1.977416992	-1.870956234411018972e-21	-2.725259736240874445e-21
-1.977355957	-1.961784073618517598e-21	-2.510735088519818736e-21
-1.977294922	-1.790928824764467542e-21	-2.782521513625056247e-21
-1.977233887	-1.880349771095624282e-21	-2.567767297331178080e-21
-1.977172852	-1.709177450369902486e-21	-2.837311770940156098e-21
-1.977111816	-1.797233832399090148e-21	-2.622293873063476906e-21
-1.977050781	-1.625778432413410540e-21	-2.889579178691754409e-21
-1.976989746	-1.712513297287459801e-21	-2.674264755497117818e-21
-1.976928711	-1.540809617626169598e-21	-2.939274758523337140e-21
-1.976867676	-1.626266695892736939e-21	-2.723632256909594964e-21
-1.976806641	-1.454350305854648630e-21	-2.986351928579815210e-21
-1.976745605	-1.538573975589918918e-21	-2.770351106309836217e-21
-1.976684570	-1.366481176328230459e-21	-3.030766546533833145e-21
-1.976623535	-1.449516426722635757e-21	-2.814378491369435572e-21
-1.976562500	-1.277284212825511057e-21	-3.072476950520887933e-21
-1.976501465	-1.359176606953783506e-21	-2.855674098349639463e-21
-1.976440430	-1.186842627291746427e-21	-3.111443997732250755e-21
-1.976379395	-1.267638264358946642e-21	-2.894200149365989213e-21
-1.976318359	-1.095240782607841573e-21	-3.147631100463115349e-21
-1.976257324	-1.174986259705632091e-21	-2.929921437506448363e-21
-1.976196289	-1.002564114172450538e-21	-3.181004260099027830e-21
-1.976135254	-1.081306487431940805e-21	-2.962805359536196832e-21
-1.976074219	-9.088990504172075525e-22	-3.211532098517209969e-21
-1.976013184	-9.866857957392348311e-22	-2.992821946024124740e-21
-1.975952148	-8.143329326176455946e-22	-3.239185887028249493e-21
-1.975891113	-8.912119058907043475e-22	-3.019943889258324044e-21
-1.975830078	-7.189539336386408606e-22	-3.263939572975572954e-21
-1.975769043	-7.949733305787656197e-22	-3.044146568521598914e-21
-1.975708008	-6.228509759981096264e-22	-3.285769803738736428e-21
-1.975646973	-6.980592916431256639e-22	-3.065408072874107310e-21
-1.975585938	-5.261136493019250965e-22	-3.304655948278554043e-21
-1.975524902	-6.005596371071895820e-22	-3.083709221534569534e-21
-1.975463867	-4.288321269109434133e-22	-3.320580116128910571e-21
-1.975402832	-5.025647576892352049e-22	-3.099033581552613441e-21
-1.975341797	-3.310970822480974339e-22	-3.333527173948165761e-21
-1.975280762	-4.041655026469526634e-22	-3.111367483110359315e-21
-1.975219727	-2.329996044618387022e-22	-3.343484759298350274e-21
-1.975158691	-3.054530954201344646e-22	-3.120700032080350527e-21
-1.975097656	-1.346311138659022162e-22	-3.350443292038876956e-21
-1.975036621	-2.065190488067262837e-22	-3.127023120140906992e-21
-1.974975586	-3.608327696537994083e-23	-3.354395983097087380e-21
-1.974914551	-1.074550798294018794e-22	-3.130331432223118481e-21
-1.974853516	6.255207869333347930e-23	-3.355338840534324802e-21
-1.974792480	-8.353024567540483098e-24	-3.130622451386917822e-21
-1.974731445	1.611830498191236679e-22	-3.353270673175577845e-21
-1.974670410	9.069524726000362400e-23	-3.127896461130308513e-21
-1.974609375	2.597177428269673339e-22	-3.348193091535938571e-21
-1.974548340	1.895979176899186395e-22	-3.122156544938646714e-21
-1.974487305	3.580643590426137550e-22	-3.340110506148027861e-21
-1.974426270	2.882633058331874478e-22	-3.113408583524308923e-21
-1.974365234	4.561312801267019042e-22	-3.329030123315422209e-21
-1.974304199	3.865999530712378356e-22	-3.101661249195515818e-21
-1.974243164	5.538271531494687461e-22	-3.314961938286839766e-21
-1.974182129	4.845167080788432726e-22	-3.086925997680749107e-21
-1.974121094	6.510609753288666676e-22	-3.297918725801757767e-21
-1.974060059	5.819228115391442297e-22	-3.069217057570522214e-21
-1.973999023	7.477421787187677273e-22	-3.277916028031435404e-21
-1.973937988	6.787279804108185630e-22	-3.048551416882154670e-21
-1.973876953	8.437807142162959968e-22	-3.254972140095120176e-21
-1.973815918	7.748424919511748841e-22	-3.024948807279553021e-21
-1.973754883	9.390871352482142099e-22	-3.229108092786271630e-21
-1.973693848	8.701772669958429900e-22	-2.998431685603176283e-21
