# time (s)	h_+ (strain)	h_x (strain)
-1.979187012	-3.254508325430198870e-21	7.351645086857651595e-22
-1.979125977	-3.124272513944799901e-21	4.273160129072160256e-22
-1.979064941	-3.271117501018342569e-21	6.372178249915369971e-22
-1.979003906	-3.140001832264449652e-21	3.302564378974206602e-22
-1.978942871	-3.284752817632292927e-21	5.388076576035289695e-22
-1.978881836	-3.152745266502149014e-21	2.327689708447059453e-22
-1.978820801	-3.295401403516307322e-21	4.400248951548657951e-22
-1.978759766	-3.162491400996086681e-21	1.349448122235310541e-22
-1.978698730	-3.303053165934415293e-21	3.409607746233816539e-22
-1.978637695	-3.169231602850061708e-21	3.687546629633531092e-23
-1.978576660	-3.307700800358810634e-21	2.417067964724038925e-22
-1.978515625	-3.172960029840086470e-21	-6.134734378245885207e-23
-1.978454590	-3.309339797213216732e-21	1.423546396474049463e-22
-1.978393555	-3.173673635928250358e-21	-1.596317612844518045e-22
-1.978332520	-3.307968445713491808e-21	4.299607614187940524e-23
-1.978271484	-3.171372173893853809e-21	-2.578858809759895846e-22
-1.978210449	-3.303587835494859910e-21	-5.627711428324017485e-23
-1.978149414	-3.166058195493657706e-21	-3.560178345698263379e-22
-1.978088379	-3.296201855398717241e-21	-1.553732293793624818e-22
-1.978027344	-3.157737049152874686e-21	-4.539358760356416701e-22
-1.977966309	-3.285817189624559429e-21	-2.542007298345622131e-22
-1.977905273	-3.146416874798994474e-21	-5.515484666344864741e-22
-1.977844238	-3.272443311539257268e-21	-3.526683242963935878e-22
-1.977783203	-3.132108596306157581e-21	-6.487643600677057332e-22
-1.977722168	-3.256092474573282918e-21	-4.506850543153826272e-22
-1.977661133	-3.114825911237009194e-21	-7.454926870515444996e-22
-1.977600098	-3.236779700785539230e-21	-5.481603788847060942e-22
-1.977539062	-3.094585278088790851e-21	-8.416430397247697291e-22
-1.977478027	-3.214522766737757473e-21	-6.450042586753598424e-22
-1.977416992	-3.071405900865018086e-21	-9.371255555560032247e-22
-1.977355957	-3.189342186862312280e-21	-7.411272396552808578e-22
-1.977294922	-3.045309711294846803e-21	-1.031851000816283418e-21
-1.977233887	-3.161261194151891083e-21	-8.364405364250446337e-22
-1.977172852	-3.016321348186433206e-21	-1.125730853238124875e-21
-1.977111816	-3.130305718655333733e-21	-9.308561145445347473e-22
-1.977050781	-2.984468134672289677e-21	-1.218677384439996524e-21
-1.976989746	-3.096504362966803581e-21	-1.024286772560956372e-21
-1.976928711	-2.949780052575706409e-21	-1.310603741068720359e-21
-1.976867676	-3.059888375772298600e-21	-1.116646222888116839e-21
-1.976806641	-2.912289714676009044e-21	-1.401424025615969695e-21
-1.976745605	-3.020491622544198809e-21	-1.207849172204326025e-21
-1.976684570	-2.872032334168020764e-21	-1.491053376071096470e-21
-1.976623535	-2.978350553958631736e-21	-1.297811400600368210e-21
-1.976562500	-2.829045691960400767e-21	-1.579408044671258640e-21
-1.976501465	-2.933504171892169644e-21	-1.386449839903950799e-21
-1.976440430	-2.783370101471369197e-21	-1.666405475587409586e-21
-1.976379395	-2.885993993111676455e-21	-1.473682650839452938e-21
-1.976318359	-2.735048371167326430e-21	-1.751964381596262835e-21
-1.976257324	-2.835864010518948877e-21	-1.559429299160632853e-21
-1.976196289	-2.684125764636373824e-21	-1.836004819470250982e-21
-1.976135254	-2.783160652169620478e-21	-1.643610630387412151e-21
-1.976074219	-2.630649958602866389e-21	-1.918448264141478232e-21
-1.976013184	-2.727932738081651894e-21	-1.726148943531333235e-21
-1.975952148	-2.574670998370065074e-21	-1.999217681701541584e-21
-1.975891113	-2.670231434541380512e-21	-1.806968063100747502e-21
-1.975830078	-2.516241251420907895e-21	-2.078237600609746652e-21
-1.975769043	-2.610110206722447994e-21	-1.885993409978987718e-21
-1.975708008	-2.455415358678813796e-21	-2.155434181969871540e-21
-1.975646973	-2.547624768672259931e-21	-1.963152070767688563e-21
-1.975585938	-2.392250183571423245e-21	-2.230735287848404415e-21
-1.975524902	-2.482833031573575114e-21	-2.038372865380156835e-21
-1.975463867	-2.326804759305553154e-21	-2.304070548286540154e-21
-1.975402832	-2.415795049787629638e-21	-2.111586413328902471e-21
-1.975341797	-2.259140233831476722e-21	-2.375371426591062930e-21
-1.975280762	-2.346572964886885062e-21	-2.182725198087684232e-21
-1.975219727	-2.189319813029308135e-21	-2.444571282823186550e-21
-1.975158691	-2.275230947887861115e-21	-2.251723629841383518e-21
-1.975097656	-2.117408701912397128e-21	-2.511605435661866290e-21
-1.975036621	-2.201835139489907184e-21	-2.318518106407059488e-21
-1.974975586	-2.043474043977881151e-21	-2.576411222374141267e-21
-1.974914551	-2.126453588519696221e-21	-2.383047072273115589e-21
-1.974853516	-1.967584858826065737e-21	-2.638928056915791546e-21
-1.974792480	-2.049156188607037863e-21	-2.445251075829543161e-21
-1.974731445	-1.889811977936100106e-21	-2.699097486087457510e-21
-1.974670410	-1.970014613203774918e-21	-2.505072824557070871e-21
-1.974609375	-1.810227978802374927e-21	-2.756863243825095469e-21
-1.974548340	-1.889102248759873327e-21	-2.562457238196772737e-21
-1.974487305	-1.728907117516947392e-21	-2.812171303196146653e-21
-1.974426270	-1.806494126622060865e-21	-2.617351499978524950e-21
-1.974365234	-1.645925259635884465e-21	-2.864969926646338523e-21
-1.974304199	-1.722266853081796106e-21	-2.669705105559843845e-21
-1.974243164	-1.561359809739589409e-21	-2.915209713823079405e-21
